ecosystem	name	declared	resolved	latest_stable	impact	source
npm	@fontsource-variable/inter	^5.2.8	5.2.8	5.3.0	U: font assety a PWA precache.	https://registry.npmjs.org/@fontsource-variable/inter
npm	class-variance-authority	^0.7.1	0.7.1	0.7.1	U: latest shodná, ponechat; ověřit používané UI/DOM chování; detailní changelog neověřen.	https://registry.npmjs.org/class-variance-authority
npm	clsx	^2.1.1	2.1.1	2.1.1	U: latest shodná, ponechat; ověřit používané UI/DOM chování; detailní changelog neověřen.	https://registry.npmjs.org/clsx
npm	lucide-react	^0.563.0	0.563.0(react@19.2.4)	1.38.0	U: major1; ověřit každý import/export a vizuální změny ikon; přesný seznam migrací neověřen.	https://registry.npmjs.org/lucide-react
npm	react	^19.0.0; ^19.2.4	19.2.4	19.2.8	R: patch19.2.8 společně react-dom; žádný React Server Components runtime v projektu.	https://registry.npmjs.org/react
npm	react-dom	^19.0.0; ^19.2.4	19.2.4(react@19.2.4)	19.2.8	R: patch19.2.8 společně react; web i extension mount/unmount.	https://registry.npmjs.org/react-dom
npm	shadcn	^3.7.0	3.7.0(@types/node@25.1.0)(hono@4.11.1)(typescript@5.9.3)	4.19.1	U: major4 CLI; neaktualizuje automaticky již zkopírované UI komponenty. Přesun do devDeps pokud není runtime import.	https://registry.npmjs.org/shadcn
npm	tailwind-merge	^3.4.0	3.4.0	3.6.0	U: kompatibilní řada podle semver; ověřit používané UI/DOM chování; detailní changelog neověřen.	https://registry.npmjs.org/tailwind-merge
npm	tw-animate-css	^1.4.0	1.4.0	1.4.0	U: latest shodná, ponechat; ověřit používané UI/DOM chování; detailní changelog neověřen.	https://registry.npmjs.org/tw-animate-css
npm	@crxjs/vite-plugin	^2.3.0	2.3.0	2.7.1	V: latest2.7.1 deklaruje Vite8 peer; test nainstalované MV3 extension.	https://registry.npmjs.org/@crxjs/vite-plugin
npm	@tailwindcss/vite	^4.1.18	4.1.18(vite@7.3.1(@types/node@25.1.0)(jiti@2.6.1)(lightningcss@1.30.2)(terser@5.44.1)); 4.1.18(rolldown-vite@7.3.1(@types/node@25.1.0)(esbuild@0.27.2)(jiti@2.6.1)(terser@5.44.1))	4.3.3	U/V: sladit s tailwindcss4.3.3; workspace scan a build CSS.	https://registry.npmjs.org/@tailwindcss/vite
npm	@types/chrome	^0.1.36	0.1.36	0.2.7	T: zkontrolovat extension service worker a messaging typy.	https://registry.npmjs.org/@types/chrome
npm	@types/react	^19.2.10	19.2.10	19.2.18	T: sladit19 s React/ReactDOM, zkontrolovat ref a event typy.	https://registry.npmjs.org/@types/react
npm	@types/react-dom	^19.2.3	19.2.3(@types/react@19.2.10)	19.2.5	T: sladit19 s React/ReactDOM.	https://registry.npmjs.org/@types/react-dom
npm	@vitejs/plugin-react	^5.1.2	5.1.2(vite@7.3.1(@types/node@25.1.0)(jiti@2.6.1)(lightningcss@1.30.2)(terser@5.44.1)); 5.1.2(rolldown-vite@7.3.1(@types/node@25.1.0)(esbuild@0.27.2)(jiti@2.6.1)(terser@5.44.1))	6.1.1	V: v6 vyžaduje Vite8 a odstraňuje babel option; přepsat compiler plugin.	https://registry.npmjs.org/@vitejs/plugin-react
npm	babel-plugin-react-compiler	^1.0.0	1.0.0	1.0.0	V: latest1.0 beze změny, mění se připojení ve Vite pluginu6.	https://registry.npmjs.org/babel-plugin-react-compiler
npm	tailwindcss	^4.1.18	4.1.18	4.3.3	U/V: minor4; zkontrolovat generované CSS tříd, dark mode a safelist.	https://registry.npmjs.org/tailwindcss
npm	vite	^7.3.1; npm:rolldown-vite@7.3.1	7.3.1(@types/node@25.1.0)(jiti@2.6.1)(lightningcss@1.30.2)(terser@5.44.1); rolldown-vite@7.3.1(@types/node@25.1.0)(esbuild@0.27.2)(jiti@2.6.1)(terser@5.44.1)	8.2.2	V: web odstranit npm:rolldown-vite alias, sjednotit Vite8 i extension.	https://registry.npmjs.org/vite
npm	vite-plugin-zip-pack	^1.2.4	1.2.4(vite@7.3.1(@types/node@25.1.0)(jiti@2.6.1)(lightningcss@1.30.2)(terser@5.44.1))	1.2.4	V: latest beze změny; ověřit zip obsah po Vite8.	https://registry.npmjs.org/vite-plugin-zip-pack
npm	@capacitor-mlkit/barcode-scanning	^8.0.0	8.0.0(@capacitor/core@8.0.2)	8.1.1	N: kamera/permission, Google MLKit dependencies a iOS pod deployment.	https://registry.npmjs.org/@capacitor-mlkit/barcode-scanning
npm	@capacitor/android	^8.0.2	8.0.2(@capacitor/core@8.0.2)	8.5.0	N: společně Capacitor8; cap sync + fyzické Android/iOS regresní testy.	https://registry.npmjs.org/@capacitor/android
npm	@capacitor/app	^8.0.0	8.0.0(@capacitor/core@8.0.2)	8.1.1	N: společně Capacitor8; cap sync + fyzické Android/iOS regresní testy.	https://registry.npmjs.org/@capacitor/app
npm	@capacitor/barcode-scanner	^3.0.0	3.0.0(@capacitor/core@8.0.2)	3.1.1	N: druhý scanner vedle MLKit; ověřit, zda potřebujete oba.	https://registry.npmjs.org/@capacitor/barcode-scanner
npm	@capacitor/camera	^8.0.0	8.0.0(@capacitor/core@8.0.2)	8.2.3	N: společně Capacitor8; cap sync + fyzické Android/iOS regresní testy.	https://registry.npmjs.org/@capacitor/camera
npm	@capacitor/core	^8.0.2	8.0.2	8.5.0	N: společně Capacitor8; cap sync + fyzické Android/iOS regresní testy.	https://registry.npmjs.org/@capacitor/core
npm	@capacitor/ios	^8.0.2	8.0.2(@capacitor/core@8.0.2)	8.5.0	N: společně Capacitor8; cap sync + fyzické Android/iOS regresní testy.	https://registry.npmjs.org/@capacitor/ios
npm	@capacitor/preferences	^8.0.0	8.0.0(@capacitor/core@8.0.2)	8.0.1	N: společně Capacitor8; cap sync + fyzické Android/iOS regresní testy.	https://registry.npmjs.org/@capacitor/preferences
npm	@capacitor/privacy-screen	^2.0.0	2.0.0(@capacitor/core@8.0.2)	2.0.1	N: společně Capacitor8; cap sync + fyzické Android/iOS regresní testy.	https://registry.npmjs.org/@capacitor/privacy-screen
npm	@capacitor/share	^8.0.0	8.0.0(@capacitor/core@8.0.2)	8.0.1	N: společně Capacitor8; cap sync + fyzické Android/iOS regresní testy.	https://registry.npmjs.org/@capacitor/share
npm	@capacitor/splash-screen	^8.0.0	8.0.0(@capacitor/core@8.0.2)	8.0.2	N: společně Capacitor8; cap sync + fyzické Android/iOS regresní testy.	https://registry.npmjs.org/@capacitor/splash-screen
npm	@capawesome/capacitor-torch	^8.0.0	8.0.0(@capacitor/core@8.0.2)	8.0.1	N: společně Capacitor8; cap sync + fyzické Android/iOS regresní testy.	https://registry.npmjs.org/@capawesome/capacitor-torch
npm	@capgo/capacitor-native-biometric	^8.3.3	8.3.3(@capacitor/core@8.0.2)	8.6.7	N: test existujících credentials/server a rollback, ne jen isAvailable.	https://registry.npmjs.org/@capgo/capacitor-native-biometric
npm	@capgo/capacitor-navigation-bar	^8.0.14	8.0.14(@capacitor/core@8.0.2)	8.2.7	N: společně Capacitor8; cap sync + fyzické Android/iOS regresní testy.	https://registry.npmjs.org/@capgo/capacitor-navigation-bar
npm	@ionic/pwa-elements	^3.3.0	3.3.0	3.4.0	N/U: web camera modal a komponenty, nenahradí native plugins.	https://registry.npmjs.org/@ionic/pwa-elements
npm	@stackflow/config	^1.2.2	1.2.2	2.0.0	S: v2 definice config/typů, aktualizovat se všemi Stackflow core/react/history.	https://registry.npmjs.org/@stackflow/config
npm	barcode-detector	^3.0.8	3.0.8(@types/emscripten@1.41.5)	3.2.2	N/U: QR fallback/WASM asset path, kamera cleanup.	https://registry.npmjs.org/barcode-detector
npm	capacitor-secure-storage-plugin	^0.13.0	0.13.0(@capacitor/core@8.0.2)	0.13.0	N: latest0.13 beze změny; musí zachovat existující šifrované klíče/storage.	https://registry.npmjs.org/capacitor-secure-storage-plugin
npm	firebase	^12.8.0	12.8.0	12.18.0	D/N: minor12; FCM SW, token refresh/permission i nativní inicializace.	https://registry.npmjs.org/firebase
npm	react-use-pull-to-refresh	^1.0.5	1.0.5(react-dom@19.2.4(react@19.2.4))(react@19.2.4)	1.0.5	U: latest shodná, ponechat; ověřit používané UI/DOM chování; detailní changelog neověřen.	https://registry.npmjs.org/react-use-pull-to-refresh
npm	workbox-window	^7.4.0	7.4.0	7.4.1	V: společně PWA; test starý service worker -> nový a rozpracovaný převod.	https://registry.npmjs.org/workbox-window
npm	@capacitor/cli	^8.0.2	8.0.2	8.5.0	N: společně Capacitor8; cap sync + fyzické Android/iOS regresní testy.	https://registry.npmjs.org/@capacitor/cli
npm	@vite-pwa/assets-generator	^1.0.2	1.0.2	1.0.2	V: beze změny, generuje assety pouze při explicitním příkazu.	https://registry.npmjs.org/@vite-pwa/assets-generator
npm	autoprefixer	^10.4.23	10.4.23(postcss@8.5.6)	10.5.4	U/V: build CSS; beze změny JS API očekávané.	https://registry.npmjs.org/autoprefixer
npm	eslint-plugin-react-refresh	^0.4.26	0.4.26(eslint@9.39.2(jiti@2.6.1))	0.5.5	E: minor0.x může měnit pravidla; ověřit flat config.	https://registry.npmjs.org/eslint-plugin-react-refresh
npm	globals	^17.2.0	17.2.0	17.11.0	E: data globálních symbolů; runtime nemění.	https://registry.npmjs.org/globals
npm	postcss	^8.5.6	8.5.6	8.5.26	U/V: patch8; rebuild web/extension a kontrola CSS.	https://registry.npmjs.org/postcss
npm	vite-plugin-pwa	^1.2.0	1.2.0(@vite-pwa/assets-generator@1.0.2)(rolldown-vite@7.3.1(@types/node@25.1.0)(esbuild@0.27.2)(jiti@2.6.1)(terser@5.44.1))(workbox-build@7.4.0(@types/babel__core@7.20.5))(workbox-window@7.4.0)	1.3.0	V: latest1.3 má Vite8 peer, Workbox7.4.1; offline/update test.	https://registry.npmjs.org/vite-plugin-pwa
npm	axios	^1.13.4	1.13.4	1.20.0	D: prioritní security update1.20; zkontrolovat ApiClient autentizaci/interceptory.	https://registry.npmjs.org/axios
npm	zod	^4.3.6	4.3.6	4.5.4	D: minor4; formulářové errors, refine, resolver input/output types.	https://registry.npmjs.org/zod
npm	@kubb/cli	^4.20.0	4.20.0(@kubb/react-fabric@0.12.7)(typescript@5.9.3)	5.0.4	K: v5 nový unified kubb/config/adapter; Node>=22.	https://registry.npmjs.org/@kubb/cli
npm	@kubb/core	^4.20.0	4.20.0(@kubb/react-fabric@0.12.7)	5.0.4	K: v5 nesmí být smícháno s plugin-oas4; změna generační pipeline.	https://registry.npmjs.org/@kubb/core
npm	@kubb/plugin-oas	^4.20.0	4.20.0(@kubb/react-fabric@0.12.7)	4.39.3	K: latest4.39.3; ve v5 odstranit a nahradit adapter-oas, ne aktualizovat nezávisle.	https://registry.npmjs.org/@kubb/plugin-oas
npm	@kubb/plugin-react-query	^4.20.0	4.20.0(@kubb/react-fabric@0.12.7)(axios@1.13.4)(typescript@5.9.3)	5.0.1	K: v5 client object/importPath -> registrovaný axios/fetch plugin; přegenerovat.	https://registry.npmjs.org/@kubb/plugin-react-query
npm	@kubb/plugin-ts	^4.20.0	4.20.0(@kubb/react-fabric@0.12.7)(typescript@5.9.3)	5.0.0	K: v5 nový plugin/core peer; přegenerovat modely a posoudit API diff.	https://registry.npmjs.org/@kubb/plugin-ts
npm	@tanstack/react-query	^5.90; ^5.90.20	5.90.20(react@19.2.4)	5.102.8	D: minor5; query keys, invalidace, retries a stale data po unlock.	https://registry.npmjs.org/@tanstack/react-query
npm	tsup	^8.5.1	8.5.1(jiti@2.6.1)(postcss@8.5.6)(typescript@5.9.3)	8.5.1	V: latest8.5.1; zdrojové exports znamenají, že prod aplikace bundluje Vite; nepředstírat update.	https://registry.npmjs.org/tsup
npm	@goldenera/cryptoj	^0.2.0	0.2.0(typescript@5.9.3)(zod@4.3.6)	0.4.1	C: 0.2 ->0.4.1 vyžaduje wire vectors; nové state/payload V2 a přísnější RLP.	https://registry.npmjs.org/@goldenera/cryptoj
npm	@hookform/resolvers	^5.2.2	5.2.2(react-hook-form@7.71.1(react@19.2.4))	5.9.1	D: společně react-hook-form/Zod; typy a validační průchod.	https://registry.npmjs.org/@hookform/resolvers
npm	@stackflow/core	^1.3.0	1.3.0	3.1.0	S: v3 mění navigation snapshots, nekombinovat se starým react/history.	https://registry.npmjs.org/@stackflow/core
npm	@stackflow/plugin-basic-ui	^1.18.1	1.18.1(@stackflow/core@1.3.0)(@stackflow/react@1.12.0(@stackflow/config@1.2.2)(@stackflow/core@1.3.0)(@types/react@19.2.10)(react@19.2.4))(@types/react@19.2.10)(react@19.2.4)	1.18.4	S: latest patch již vyžaduje react integraci^2 a core^2/^3; s aktuální1.x nekompatibilní peer, updatovat jen celou sadu.	https://registry.npmjs.org/@stackflow/plugin-basic-ui
npm	@stackflow/plugin-history-sync	^1.10.0	1.10.0(@stackflow/config@1.2.2)(@stackflow/core@1.3.0)(@stackflow/react@1.12.0(@stackflow/config@1.2.2)(@stackflow/core@1.3.0)(@types/react@19.2.10)(react@19.2.4))(@types/react@19.2.10)(react@19.2.4)	2.1.0	S: v2 vyžaduje core3, jiná obnova snapshot/history; test CleanableHistory.	https://registry.npmjs.org/@stackflow/plugin-history-sync
npm	@stackflow/plugin-renderer-basic	^1.1.13	1.1.13(@stackflow/core@1.3.0)(@stackflow/react@1.12.0(@stackflow/config@1.2.2)(@stackflow/core@1.3.0)(@types/react@19.2.10)(react@19.2.4))(@types/react@19.2.10)(react@19.2.4)	1.1.16	S: latest patch již vyžaduje react integraci^2 a core^2/^3; s aktuální1.x nekompatibilní peer, updatovat jen celou sadu.	https://registry.npmjs.org/@stackflow/plugin-renderer-basic
npm	@stackflow/plugin-renderer-web	^1.1.13	1.1.13(@stackflow/core@1.3.0)(@stackflow/react@1.12.0(@stackflow/config@1.2.2)(@stackflow/core@1.3.0)(@types/react@19.2.10)(react@19.2.4))(@types/react@19.2.10)(react@19.2.4)	1.1.16	S: latest patch již vyžaduje react integraci^2 a core^2/^3; s aktuální1.x nekompatibilní peer, updatovat jen celou sadu.	https://registry.npmjs.org/@stackflow/plugin-renderer-web
npm	@stackflow/react	^1.12.0	1.12.0(@stackflow/config@1.2.2)(@stackflow/core@1.3.0)(@types/react@19.2.10)(react@19.2.4)	2.1.4	S: v2 odstraňuje useActions a starý stackflow({activities}); přepis routeru.	https://registry.npmjs.org/@stackflow/react
npm	compute-scroll-into-view	^3.1.1	3.1.1	3.1.1	U: latest shodná, ponechat; ověřit používané UI/DOM chování; detailní changelog neověřen.	https://registry.npmjs.org/compute-scroll-into-view
npm	custom-qr-code	^2.0.3	2.0.3(react-dom@19.2.4(react@19.2.4))(react@19.2.4)	2.0.3	U: latest shodná, ponechat; ověřit používané UI/DOM chování; detailní changelog neověřen.	https://registry.npmjs.org/custom-qr-code
npm	history	^5.3.0	5.3.0	5.3.0	U: latest shodná, ponechat; ověřit používané UI/DOM chování; detailní changelog neověřen.	https://registry.npmjs.org/history
npm	idb-keyval	^6.2.2	6.2.2	6.3.0	D: stávající IndexedDB data, chyby dostupnosti browser storage.	https://registry.npmjs.org/idb-keyval
npm	react-hook-form	^7.71.1	7.71.1(react@19.2.4)	7.87.0	D: minor7; reset hodnot, disabled a validace TxSubmitCard.	https://registry.npmjs.org/react-hook-form
npm	react-number-format	^5.4.4	5.4.4(react-dom@19.2.4(react@19.2.4))(react@19.2.4)	5.4.5	U: kompatibilní řada podle semver; ověřit používané UI/DOM chování; detailní changelog neověřen.	https://registry.npmjs.org/react-number-format
npm	scroll-into-view-if-needed	^3.1.0	3.1.0	3.1.0	U: latest shodná, ponechat; ověřit používané UI/DOM chování; detailní changelog neověřen.	https://registry.npmjs.org/scroll-into-view-if-needed
npm	uncontrollable	^9.0.0	9.0.0(react@19.2.4)	9.0.0	U: latest shodná, ponechat; ověřit používané UI/DOM chování; detailní changelog neověřen.	https://registry.npmjs.org/uncontrollable
npm	unstorage	^1.17.4	1.17.4(@capacitor/preferences@8.0.0(@capacitor/core@8.0.2))(idb-keyval@6.2.2)	1.17.5	D: zachování namespaces a storage dat; test StorageService.	https://registry.npmjs.org/unstorage
npm	usehooks-ts	^3.1.1	3.1.1(react@19.2.4)	3.1.1	U: latest shodná, ponechat; ověřit používané UI/DOM chování; detailní changelog neověřen.	https://registry.npmjs.org/usehooks-ts
npm	uuid	^13.0.0	13.0.0	14.0.2	D: major14 vyžaduje global crypto a Node20+; DeviceService v4 API zůstává.	https://registry.npmjs.org/uuid
npm	zustand	^5.0.10	5.0.10(@types/react@19.2.10)(react@19.2.4)(use-sync-external-store@1.6.0(react@19.2.4))	5.0.15	D: minor5; persisted wallet state, subscriptions a reset při lock/logout.	https://registry.npmjs.org/zustand
npm	@types/uuid	^11.0.0	11.0.0	11.0.0	Odstranit: deprecated stub; uuid vlastní typy již obsahuje.	https://registry.npmjs.org/@types/uuid
npm	@radix-ui/react-avatar	^1.1.11	1.1.11(@types/react-dom@19.2.3(@types/react@19.2.10))(@types/react@19.2.10)(react-dom@19.2.4(react@19.2.4))(react@19.2.4)	1.2.6	U: kompatibilní řada podle semver; ověřit používané UI/DOM chování; detailní changelog neověřen.	https://registry.npmjs.org/@radix-ui/react-avatar
npm	@radix-ui/react-label	^2.1.8	2.1.8(@types/react-dom@19.2.3(@types/react@19.2.10))(@types/react@19.2.10)(react-dom@19.2.4(react@19.2.4))(react@19.2.4)	2.1.15	U: kompatibilní řada podle semver; ověřit používané UI/DOM chování; detailní changelog neověřen.	https://registry.npmjs.org/@radix-ui/react-label
npm	@radix-ui/react-separator	^1.1.8	1.1.8(@types/react-dom@19.2.3(@types/react@19.2.10))(@types/react@19.2.10)(react-dom@19.2.4(react@19.2.4))(react@19.2.4)	1.1.15	U: kompatibilní řada podle semver; ověřit používané UI/DOM chování; detailní changelog neověřen.	https://registry.npmjs.org/@radix-ui/react-separator
npm	@radix-ui/react-slot	^1.2.4	1.2.4(@types/react@19.2.10)(react@19.2.4)	1.3.3	U: kompatibilní řada podle semver; ověřit používané UI/DOM chování; detailní changelog neověřen.	https://registry.npmjs.org/@radix-ui/react-slot
npm	@radix-ui/react-switch	^1.2.6	1.2.6(@types/react-dom@19.2.3(@types/react@19.2.10))(@types/react@19.2.10)(react-dom@19.2.4(react@19.2.4))(react@19.2.4)	1.3.7	U: kompatibilní řada podle semver; ověřit používané UI/DOM chování; detailní changelog neověřen.	https://registry.npmjs.org/@radix-ui/react-switch
npm	input-otp	^1.4.2	1.4.2(react-dom@19.2.4(react@19.2.4))(react@19.2.4)	1.5.0	U: kompatibilní řada podle semver; ověřit používané UI/DOM chování; detailní changelog neověřen.	https://registry.npmjs.org/input-otp
npm	motion	^12.29.2	12.29.2(react-dom@19.2.4(react@19.2.4))(react@19.2.4)	13.1.1	U: major13 odstraňuje implicitní emotion prop filtr; zde motion/react v family-drawer.	https://registry.npmjs.org/motion
npm	react-use-measure	^2.1.7	2.1.7(react-dom@19.2.4(react@19.2.4))(react@19.2.4)	2.1.7	U: latest shodná, ponechat; ověřit používané UI/DOM chování; detailní changelog neověřen.	https://registry.npmjs.org/react-use-measure
npm	vaul	^1.1.2	1.1.2(@types/react-dom@19.2.3(@types/react@19.2.10))(@types/react@19.2.10)(react-dom@19.2.4(react@19.2.4))(react@19.2.4)	1.1.2	U: latest shodná, ponechat; ověřit používané UI/DOM chování; detailní changelog neověřen.	https://registry.npmjs.org/vaul
npm	vaul-base	^1.0.0	1.0.0(@base-ui/react@1.1.0(@types/react@19.2.10)(react-dom@19.2.4(react@19.2.4))(react@19.2.4))(react-dom@19.2.4(react@19.2.4))(react@19.2.4)	1.0.0	U: latest shodná, ponechat; ověřit používané UI/DOM chování; detailní changelog neověřen.	https://registry.npmjs.org/vaul-base
npm	pnpm	10.28.2	10.28.2	11.24.0	P: 11 mění onlyBuiltDependencies -> allowBuilds, store a config; mezikrok10.34.5.	https://registry.npmjs.org/pnpm
npm	rolldown-vite	7.3.1	7.3.1	7.3.1	V: deprecated preview; latest7.3.1 není cílový update, přejít na vite8.2.2.	https://registry.npmjs.org/rolldown-vite
maven	org.springframework.boot:spring-boot-starter-parent	3.5.8	3.5.8	4.1.1	B: mezikrok3.5.16, poté4.0.8/4.1.1; BOM a modulární starters společně.	https://repo.maven.apache.org/maven2/org/springframework/boot/spring-boot-starter-parent/maven-metadata.xml
maven	org.springframework.boot:spring-boot-starter-web	Spring Boot BOM	3.5.8	4.1.1	B: mezikrok3.5.16, poté4.0.8/4.1.1; BOM a modulární starters společně.	https://repo.maven.apache.org/maven2/org/springframework/boot/spring-boot-starter-web/maven-metadata.xml
maven	org.springframework.boot:spring-boot-starter-security	Spring Boot BOM	3.5.8	4.1.1	B: mezikrok3.5.16, poté4.0.8/4.1.1; BOM a modulární starters společně.	https://repo.maven.apache.org/maven2/org/springframework/boot/spring-boot-starter-security/maven-metadata.xml
maven	org.springframework.boot:spring-boot-starter-data-jpa	${project.parent.version}; Spring Boot BOM	3.5.8	4.1.1	B: mezikrok3.5.16, poté4.0.8/4.1.1; BOM a modulární starters společně.	https://repo.maven.apache.org/maven2/org/springframework/boot/spring-boot-starter-data-jpa/maven-metadata.xml
maven	org.springframework.boot:spring-boot-starter-cache	Spring Boot BOM	3.5.8	4.1.1	B: mezikrok3.5.16, poté4.0.8/4.1.1; BOM a modulární starters společně.	https://repo.maven.apache.org/maven2/org/springframework/boot/spring-boot-starter-cache/maven-metadata.xml
maven	org.hibernate.validator:hibernate-validator	${hibernate-validator.version}	9.1.0.Final	9.1.3.Final	B: nyní9.1 přepsané proti Boot3.5 BOM8/API3.0; nejdřív sladit, Boot4.1 spravuje9.1.3.	https://repo.maven.apache.org/maven2/org/hibernate/validator/hibernate-validator/maven-metadata.xml
maven	org.springframework.retry:spring-retry	Spring Boot BOM	2.0.12	2.0.13	B: v Boot4 ztrácí BOM management; pin2.0.13 nebo migrace na Framework7 retry + AOP test.	https://repo.maven.apache.org/maven2/org/springframework/retry/spring-retry/maven-metadata.xml
maven	com.h2database:h2	${h2.version}	2.4.240	2.4.240	DB: latest shodná; test jen H2 nenahrazuje PostgreSQL18.	https://repo.maven.apache.org/maven2/com/h2database/h2/maven-metadata.xml
maven	org.postgresql:postgresql	${postgresql.version}	42.7.8	42.7.13	DB: JDBC patch42.7.13; SSL/auth/batching a reálný PostgreSQL.	https://repo.maven.apache.org/maven2/org/postgresql/postgresql/maven-metadata.xml
maven	org.liquibase:liquibase-core	${liquibase.version}	5.0.1	5.0.4	DB/B: patch5.0.4; vlastní override Boot BOM, ověřit boot startup/migrace.	https://repo.maven.apache.org/maven2/org/liquibase/liquibase-core/maven-metadata.xml
maven	org.liquibase.ext:liquibase-hibernate6	${liquibase.version}	5.0.1	5.0.4	DB/B: vhodné jen Hibernate6; Boot4 vyžaduje kompatibilní hibernate7 extension, dostupnost cíle doověřit.	https://repo.maven.apache.org/maven2/org/liquibase/ext/liquibase-hibernate6/maven-metadata.xml
maven	org.projectlombok:lombok	${lombok.version}; Spring Boot BOM	1.18.42	1.18.46	B:1.18.46 spravuje cílový BOM; annotation processor s mapstruct-binding.	https://repo.maven.apache.org/maven2/org/projectlombok/lombok/maven-metadata.xml
maven	org.springdoc:springdoc-openapi-starter-webmvc-ui	${springdoc.version}	2.8.9	3.1.0	B/K: pro Boot3 nejvýš2.x (latest2.9.0), 3.1.0 až Boot4; diff OpenAPI/modelů.	https://repo.maven.apache.org/maven2/org/springdoc/springdoc-openapi-starter-webmvc-ui/maven-metadata.xml
maven	org.bouncycastle:bcprov-jdk18on	${bouncycastle.version}	1.81	1.85.2	C: security patch/minor1.85.2; jednotná verze s CryptoJ, deterministické podpisy.	https://repo.maven.apache.org/maven2/org/bouncycastle/bcprov-jdk18on/maven-metadata.xml
maven	com.github.ben-manes.caffeine:caffeine	${caffeine.version}	3.2.2	3.2.4	B: minor3.2.4, nechat BOM pokud dostačuje; cache expirace.	https://repo.maven.apache.org/maven2/com/github/ben-manes/caffeine/caffeine/maven-metadata.xml
maven	io.hypersistence:hypersistence-utils-hibernate-63	${hypersistence.version}	3.11.0	3.15.5	B:3.15.5 pro Hibernate6; Boot4.0 Hibernate7.2 -> artifact71; Boot4.1 Hibernate7.4 ->73.	https://repo.maven.apache.org/maven2/io/hypersistence/hypersistence-utils-hibernate-63/maven-metadata.xml
maven	com.fasterxml.jackson.module:jackson-module-jakarta-xmlbind-annotations	${jackson-xmlbind.version}	2.20.1	2.22.2	J: nyní2.20.1 vs BOM2.19.4; sladit celý Jackson2 BOM. latest2.22 není Jackson3.	https://repo.maven.apache.org/maven2/com/fasterxml/jackson/module/jackson-module-jakarta-xmlbind-annotations/maven-metadata.xml
maven	global.goldenera.cryptoj:goldenera-cryptoj	${goldenera-cryptoj.version}	0.0.1	NEOVĚŘENO	C: privátní GitHub Maven latest neověřeno; koordinovat verzovaný artifact s node a JS; nerepublikovat0.0.1.	
maven	io.consensys.tuweni:tuweni-bytes	${tuweni.version}	2.7.2	2.8.0	C:2.8.0 společně units; endian/unsigned/Bytes serializer vectors.	https://repo.maven.apache.org/maven2/io/consensys/tuweni/tuweni-bytes/maven-metadata.xml
maven	io.consensys.tuweni:tuweni-units	${tuweni.version}	2.7.2	2.8.0	C:2.8.0 společně bytes; Wei převody a JSON kontrakt.	https://repo.maven.apache.org/maven2/io/consensys/tuweni/tuweni-units/maven-metadata.xml
